,Termin,Program/kurs,Utbildningens namn,Anm.kod,Univ/högskola,Totalt antal sökande,1:a handssökande,Kvinnor 1:a hand,Kvinnor totalt,Män 1:a hand,Män totalt,25-34 1:a hand,25-34 totalt,<= 24 1:a hand,<= 24 totalt,>=35 1:a hand,>=35 totalt,BI,BII,HP
0,HT2020,Program,Kandidatprogram i Mångfaldsstudier,SU-01484,Stockholms universitet,145,14,11,119,2,18,6,38,6,81,1,18,*,*,*
1,HT2020,Program,Kandidatprogram för museer och kulturarv,SU-01485,Stockholms universitet,198,39,32,134,7,61,14,81,19,86,6,28,*,*,*
2,HT2020,Program,Kandidatprogram i latinamerikastudier med inriktning mot portugisiska,SU-07957,Stockholms universitet,52,11,4,11,2,9,3,8,2,10,1,2,*,*,*
3,HT2020,Program,Kandidatprogram i latinamerikastudier med inriktning mot spanska,SU-07959,Stockholms universitet,86,22,10,34,2,14,4,14,5,29,3,5,*,*,*
4,HT2020,Program,"Kandidatprogram i filosofi, ekonomi och politik",SU-10715,Stockholms universitet,697,76,23,277,50,403,18,121,53,536,2,23,18.49,19.74,1.05
5,HT2020,Program,Kandidatprogram i filosofi och lingvistik,SU-10737,Stockholms universitet,141,22,7,64,14,72,8,47,13,77,0,12,*,*,*
6,HT2020,Program,"Kandidatprogram i logik, filosofi och matematik",SU-10738,Stockholms universitet,140,19,3,44,15,90,5,39,8,82,5,13,*,*,*
7,HT2020,Program,"Kandidatprogram i historia, politik och samhälle",SU-12462,Stockholms universitet,639,77,22,286,53,339,18,126,56,480,1,19,18.02,18.28,0.80
8,HT2020,Program,"Kulturvetarprogrammet, kandidatprogram",SU-12481,Stockholms universitet,311,66,50,226,14,75,20,98,42,183,2,20,*,*,*
9,HT2020,Program,Kandidatprogram i historia,SU-12508,Stockholms universitet,257,29,8,87,21,161,9,67,18,163,2,18,14.75,14.25,*
10,HT2020,Program,Kandidatprogram i musikvetenskap med inriktning mot musikkommunikatör,SU-14556,Stockholms universitet,85,21,11,50,10,34,7,34,11,45,3,5,*,*,*
11,HT2020,Program,Kandidatprogram i teatervetenskap med inriktning mot dramaturgi och scenkritik,SU-14566,Stockholms universitet,130,23,15,95,7,33,10,52,11,60,1,16,*,*,*
12,HT2020,Program,Kandidatprogram i arkeologi,SU-15869,Stockholms universitet,280,47,25,141,22,136,12,85,28,175,7,17,*,*,*
13,HT2020,Program,Journalistprogrammet - kandidatprogram,SU-18970,Stockholms universitet,1325,288,166,849,120,463,77,329,196,926,13,57,20.10,20.60,1.10
14,HT2020,Program,Kandidatprogram i lingvistik,SU-20564,Stockholms universitet,151,18,11,83,7,62,3,41,11,89,4,15,*,*,*
15,HT2020,Program,Kommunikatörsprogrammet,SU-21297,Stockholms universitet,720,107,84,540,23,174,37,251,59,404,11,59,18.76,18.17,1.00
16,HT2020,Program,Kandidatprogram i teckenspråk och tolkning,SU-21339,Stockholms universitet,86,22,18,74,4,12,11,31,10,44,1,11,*,*,*
17,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning engelska",SU-21373,Stockholms universitet,179,40,27,124,11,47,13,62,14,84,11,25,17.18,16.13,0.55
18,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning finska",SU-21375,Stockholms universitet,15,1,0,5,0,7,0,6,0,5,0,1,18.60,-,-
19,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning franska",SU-21377,Stockholms universitet,56,9,7,35,2,13,4,17,3,25,2,6,18.20,17.28,*
20,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning italienska",SU-21379,Stockholms universitet,25,3,2,17,0,6,1,6,0,11,1,6,*,-,-
21,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning polska",SU-21387,Stockholms universitet,24,5,3,17,2,7,1,11,3,9,1,4,14.89,-,*
22,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning portugisiska",SU-21389,Stockholms universitet,13,1,1,4,0,9,1,9,0,3,0,1,17.20,-,-
23,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning ryska",SU-21391,Stockholms universitet,37,7,4,19,3,17,3,12,2,15,2,9,*,15.85,-
24,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning spanska",SU-21393,Stockholms universitet,56,8,6,41,2,14,4,19,2,26,2,10,16.25,16.23,1.25
25,HT2020,Program,"Kandidatprogram i språk och översättning, inriktning tyska",SU-21397,Stockholms universitet,22,3,1,9,1,10,1,9,1,10,0,0,*,-,-
26,HT2020,Program,Kandidatprogram i arabiska med inriktning mot mellanöstern- och nordafrikastudier,SU-28523,Stockholms universitet,62,9,5,27,4,34,7,27,1,26,1,8,*,*,*
27,HT2020,Program,Kandidatprogram i mellanöstern- och nordafrikastudier,SU-28524,Stockholms universitet,30,3,1,18,2,11,2,11,1,17,0,1,*,*,*
28,HT2020,Program,Juristprogrammet,SU-29404,Stockholms universitet,7204,2136,1427,4779,680,2334,566,1527,1314,5114,227,472,20.89,20.80,1.35
29,HT2020,Program,Kandidatprogram i internationella relationer och ekonomisk historia,SU-30855,Stockholms universitet,597,72,33,334,35,244,13,99,53,457,2,22,20.42,20.20,1.15
30,HT2020,Program,Kandidatprogram i företagsekonomi,SU-31056,Stockholms universitet,3775,867,368,1686,485,2025,188,672,641,2949,24,90,19.79,19.60,1.25
31,HT2020,Program,Kandidatprogram i marknadskommunikation (GI),SU-31091,Stockholms universitet,1328,339,271,990,64,318,50,255,278,1025,7,28,18.75,19.44,0.95
32,HT2020,Program,Kandidatprogram i internationell företagsekonomi och politik,SU-31093,Stockholms universitet,1587,414,75,524,99,637,40,208,126,903,8,50,20.73,20.95,1.25
33,HT2020,Program,"Kandidatprogram i kulturgeografi – samhälle, miljö och globala processer",SU-32297,Stockholms universitet,265,29,18,168,9,85,10,64,12,170,5,19,14.40,16.76,*
34,HT2020,Program,Samhällsplanerarprogrammet,SU-32298,Stockholms universitet,764,121,59,419,61,342,34,199,72,516,14,46,15.79,15.85,0.75
35,HT2020,Program,Kandidatprogram i nationalekonomi och statistik,SU-33981,Stockholms universitet,758,76,23,277,52,475,29,164,42,559,4,29,18.91,19.27,1.30
36,HT2020,Program,Kandidatprogram i pedagogik och folkhälsovetenskap,SU-34739,Stockholms universitet,347,49,40,273,7,68,17,127,20,158,10,56,14.40,15.05,0.15
37,HT2020,Program,Studie- och yrkesvägledarprogrammet,SU-34740,Stockholms universitet,828,176,144,662,32,162,80,360,49,308,47,156,18.33,18.95,0.60
38,HT2020,Program,Studie- och yrkesvägledarprogrammet,SU-34778,Stockholms universitet,1278,358,304,1045,48,225,150,577,37,243,165,450,19.06,19.20,0.60
39,HT2019,Program,Kandidatprogram i Mångfaldsstudier,SU-01305,Stockholms universitet,161,31,25,125,6,33,11,51,15,92,5,15,*,*,*
40,HT2019,Program,Kandidatprogram för museer och kulturarv,SU-01306,Stockholms universitet,170,32,26,122,6,47,8,68,14,78,10,23,*,*,*
41,HT2019,Program,Kandidatprogram i latinamerikastudier med inriktning mot spanska,SU-07663,Stockholms universitet,96,17,4,29,3,15,2,18,2,20,3,6,*,*,*
42,HT2019,Program,Kandidatprogram i latinamerikastudier med inriktning mot portugisiska,SU-07668,Stockholms universitet,63,27,3,16,3,8,3,10,2,12,1,2,*,*,*
43,HT2019,Program,Kandidatprogram i latinamerikastudier med inriktning mot portugisiska,SU-07668,Stockholms universitet,63,27,3,16,3,8,3,10,2,12,1,2,*,*,*
44,HT2019,Program,Kandidatprogram i latinamerikastudier med inriktning mot portugisiska,SU-07668,Stockholms universitet,63,27,3,16,3,8,3,10,2,12,1,2,*,*,*
